operator_id,tanker_id,operator_name,phone,email,city,area,pincode,latitude,longitude,operator_type,verification_status,availability_status,tanker_registration_no,tanker_capacity_kl,tanker_type,water_type_supported,vehicle_model,fuel_type,vehicle_year,service_radius_km,completed_jobs,rating,estimated_price_per_km,registration_date,contract_id,contract_status,record_source
OP-BLR-0061,TNK-BLR-0061,Shankar Patil,+91-90000-10061,shankar.patil.61@example.com,Bengaluru,Marathahalli,560037,12.965654,77.694628,independent,verified,available,KA-41-TX-1061,16,Water Tanker,treated,Force Traveller,Diesel,2021,50,23,3.8,40.28,2026-05-09,,,synthetic
OP-BLR-0062,TNK-BLR-0062,Rajesh Gowda,+91-90000-10062,rajesh.gowda.62@example.com,Bengaluru,JP Nagar,560078,12.913706,77.579952,independent,document_update_required,offline,KA-51-TX-1062,12,Water Tanker,treated,Force Traveller,Diesel,2022,10,119,4.7,22.28,2026-07-04,,,synthetic
OP-BLR-0063,TNK-BLR-0063,Yogesh Das,+91-90000-10063,yogesh.das.63@example.com,Bengaluru,Bommanahalli,560068,12.912084,77.620095,independent,verified,busy,KA-03-TX-1063,6,Water Tanker,treated,Tata 407,Diesel,2025,20,172,4.9,26.43,2025-03-06,,,synthetic
OP-BLR-0064,TNK-BLR-0064,Anil Joshi,+91-90000-10064,anil.joshi.64@example.com,Bengaluru,Banaswadi,560043,13.008436,77.65814,independent,verified,available,KA-01-TX-1064,8,Water Tanker,fresh,Eicher Pro 3015,Diesel,2024,20,29,4.5,36.86,2026-03-06,,,synthetic
OP-BLR-0065,TNK-BLR-0065,Pradeep Gowda,+91-90000-10065,pradeep.gowda.65@example.com,Bengaluru,Indiranagar,560038,12.97375,77.648225,independent,verified,busy,KA-02-TX-1065,10,Water Tanker,general,Eicher Pro 2055,Diesel,2018,40,125,4.1,40.03,2026-01-03,,,synthetic
OP-BLR-0066,TNK-BLR-0066,Vinod Rao,+91-90000-10066,vinod.rao.66@example.com,Bengaluru,Sarjapur,562125,12.868091,77.793584,independent,pending,available,KA-02-TX-1066,12,Water Tanker,fresh,Tata 407,Diesel,2017,50,48,4.1,41.78,2025-07-30,,,synthetic
OP-BLR-0067,TNK-BLR-0067,Mithun Naik,+91-90000-10067,mithun.naik.67@example.com,Bengaluru,Bellandur,560103,12.925855,77.684315,independent,verified,available,KA-41-TX-1067,5,Water Tanker,general,Ashok Leyland Dost,Diesel,2019,30,150,4.0,25.49,2025-01-27,,,synthetic
OP-BLR-0068,TNK-BLR-0068,Arun Das,+91-90000-10068,arun.das.68@example.com,Bengaluru,Koramangala,560034,12.936622,77.616752,independent,verified,available,KA-04-TX-1068,10,Water Tanker,fresh,Mahindra Furio 7,Diesel,2024,50,60,4.1,33.87,2026-04-08,,,synthetic
OP-BLR-0069,TNK-BLR-0069,Suresh Yadav,+91-90000-10069,suresh.yadav.69@example.com,Bengaluru,Jakkur,560064,13.072229,77.601424,independent,verified,available,KA-04-TX-1069,10,Water Tanker,treated,Mahindra Furio 7,Diesel,2018,10,77,4.1,24.97,2025-05-10,,,synthetic
OP-BLR-0070,TNK-BLR-0070,Mithun Bhat,+91-90000-10070,mithun.bhat.70@example.com,Bengaluru,Banashankari,560085,12.933414,77.547289,independent,verified,busy,KA-01-TX-1070,14,Water Tanker,treated,Force Traveller,Diesel,2020,25,97,4.2,26.57,2025-12-14,,,synthetic
OP-BLR-0071,TNK-BLR-0071,Vinod Joshi,+91-90000-10071,vinod.joshi.71@example.com,Bengaluru,Banaswadi,560043,13.011201,77.648,independent,verified,maintenance,KA-51-TX-1071,16,Water Tanker,treated,Tata 709,Diesel,2018,25,24,3.7,36.78,2025-05-14,,,synthetic
OP-BLR-0072,TNK-BLR-0072,Mithun Pillai,+91-90000-10072,mithun.pillai.72@example.com,Bengaluru,Sarjapur,562125,12.86332,77.784973,independent,pending,maintenance,KA-04-TX-1072,14,Water Tanker,fresh,BharatBenz 1015R,Diesel,2021,20,84,3.7,32.15,2025-06-08,,,synthetic
OP-BLR-0073,TNK-BLR-0073,Harish Gowda,+91-90000-10073,harish.gowda.73@example.com,Bengaluru,Bommasandra,560099,12.821726,77.676581,independent,verified,busy,KA-04-TX-1073,14,Water Tanker,general,Tata Ultra,Diesel,2025,10,89,4.5,35.16,2025-10-01,,,synthetic
OP-BLR-0074,TNK-BLR-0074,Sunil Rao,+91-90000-10074,sunil.rao.74@example.com,Bengaluru,Whitefield,560066,12.973999,77.756745,independent,verified,available,KA-02-TX-1074,12,Water Tanker,treated,Ashok Leyland Dost,Diesel,2017,10,179,4.6,26.3,2026-03-06,,,synthetic
OP-BLR-0075,TNK-BLR-0075,Rajesh Sharma,+91-90000-10075,rajesh.sharma.75@example.com,Bengaluru,Banaswadi,560043,13.011186,77.64819,independent,document_update_required,busy,KA-01-TX-1075,6,Water Tanker,general,Tata 407,Diesel,2018,20,94,4.2,30.48,2026-03-29,,,synthetic
OP-BLR-0076,TNK-BLR-0076,Santosh Naik,+91-90000-10076,santosh.naik.76@example.com,Bengaluru,Rajajinagar,560010,12.984821,77.551879,independent,verified,busy,KA-04-TX-1076,10,Water Tanker,treated,Ashok Leyland Partner,Diesel,2023,30,131,3.7,26.09,2025-08-05,,,synthetic
OP-BLR-0077,TNK-BLR-0077,Mohan Hegde,+91-90000-10077,mohan.hegde.77@example.com,Bengaluru,Koramangala,560034,12.92912,77.624458,independent,verified,available,KA-41-TX-1077,12,Water Tanker,fresh,Eicher Pro 2055,Diesel,2018,25,83,4.8,22.85,2025-01-20,,,synthetic
OP-BLR-0078,TNK-BLR-0078,Vijay Bhat,+91-90000-10078,vijay.bhat.78@example.com,Bengaluru,Banaswadi,560043,13.013069,77.649471,independent,verified,available,KA-04-TX-1078,5,Water Tanker,treated,Tata Ultra,Diesel,2024,50,147,4.6,29.24,2026-03-24,,,synthetic
OP-BLR-0079,TNK-BLR-0079,Lokesh Joshi,+91-90000-10079,lokesh.joshi.79@example.com,Bengaluru,BTM Layout,560076,12.915007,77.603358,independent,pending,offline,KA-02-TX-1079,10,Water Tanker,treated,Force Traveller,Diesel,2018,30,150,4.3,40.12,2025-12-24,,,synthetic
OP-BLR-0080,TNK-BLR-0080,Naveen Verma,+91-90000-10080,naveen.verma.80@example.com,Bengaluru,Nagarbhavi,560072,12.954043,77.507956,independent,verified,offline,KA-51-TX-1080,5,Water Tanker,general,Mahindra Furio 7,Diesel,2024,50,26,4.4,33.59,2025-11-27,,,synthetic
OP-BLR-0081,TNK-BLR-0081,Naveen Mishra,+91-90000-10081,naveen.mishra.81@example.com,Bengaluru,Kengeri,560060,12.913603,77.484802,independent,pending,busy,KA-03-TX-1081,10,Water Tanker,treated,Mahindra Furio 7,Diesel,2017,10,17,4.1,27.74,2025-04-03,,,synthetic
OP-BLR-0082,TNK-BLR-0082,Yogesh Menon,+91-90000-10082,yogesh.menon.82@example.com,Bengaluru,Peenya,560058,13.040168,77.531123,independent,verified,offline,KA-41-TX-1082,12,Water Tanker,treated,Mahindra Furio 7,Diesel,2025,15,141,4.9,31.01,2025-12-18,,,synthetic
OP-BLR-0083,TNK-BLR-0083,Raghu Sharma,+91-90000-10083,raghu.sharma.83@example.com,Bengaluru,HSR Layout,560102,12.907564,77.637904,independent,verified,busy,KA-02-TX-1083,10,Water Tanker,general,Eicher Pro 3015,Diesel,2023,50,10,4.1,33.96,2025-12-09,,,synthetic
OP-BLR-0084,TNK-BLR-0084,Rajesh Gowda,+91-90000-10084,rajesh.gowda.84@example.com,Bengaluru,Bellandur,560103,12.933254,77.674946,independent,verified,busy,KA-41-TX-1084,16,Water Tanker,treated,Tata Ultra,Diesel,2019,20,142,4.0,35.12,2026-02-06,,,synthetic
OP-BLR-0085,TNK-BLR-0085,Kiran Hegde,+91-90000-10085,kiran.hegde.85@example.com,Bengaluru,Koramangala,560034,12.933227,77.629167,independent,pending,busy,KA-51-TX-1085,20,Water Tanker,general,Tata 709,Diesel,2023,30,143,4.1,29.25,2025-07-04,,,synthetic
OP-BLR-0086,TNK-BLR-0086,Rajesh Singh,+91-90000-10086,rajesh.singh.86@example.com,Bengaluru,Yelahanka,560064,13.096325,77.590501,independent,verified,offline,KA-01-TX-1086,10,Water Tanker,fresh,Force Traveller,Diesel,2017,40,49,4.1,37.33,2025-05-15,,,synthetic
OP-BLR-0087,TNK-BLR-0087,Naveen Sharma,+91-90000-10087,naveen.sharma.87@example.com,Bengaluru,Peenya,560058,13.038202,77.531638,independent,pending,available,KA-04-TX-1087,5,Water Tanker,treated,Ashok Leyland Partner,Diesel,2024,30,46,4.0,36.97,2026-04-05,,,synthetic
